
Rate modification view 1:

			Reaction			 Modification Factor 
as93 -> n + se92 + electron + anti-neutrino_e            0.0000e+00
as94 -> n + n + n + se91 + electron + anti-neutrino_e    0.0000e+00
as94 -> n + n + se92 + electron + anti-neutrino_e        0.0000e+00
as94 -> n + se93 + electron + anti-neutrino_e            0.0000e+00
as95 -> n + n + n + se92 + electron + anti-neutrino_e    0.0000e+00
as95 -> n + n + se93 + electron + anti-neutrino_e        0.0000e+00
as95 -> n + se94 + electron + anti-neutrino_e            0.0000e+00
as96 -> n + n + n + se93 + electron + anti-neutrino_e    0.0000e+00
as96 -> n + n + se94 + electron + anti-neutrino_e        0.0000e+00
as96 -> n + se95 + electron + anti-neutrino_e            0.0000e+00
as97 -> n + n + n + se94 + electron + anti-neutrino_e    0.0000e+00
as97 -> n + n + se95 + electron + anti-neutrino_e        0.0000e+00
as97 -> n + se96 + electron + anti-neutrino_e            0.0000e+00
as98 -> n + n + n + se95 + electron + anti-neutrino_e    0.0000e+00
as98 -> n + n + se96 + electron + anti-neutrino_e        0.0000e+00
as98 -> n + se97 + electron + anti-neutrino_e            0.0000e+00
as99 -> n + n + n + se96 + electron + anti-neutrino_e    0.0000e+00
as99 -> n + n + se97 + electron + anti-neutrino_e        0.0000e+00
as99 -> n + se98 + electron + anti-neutrino_e            0.0000e+00
b14 -> n + c13 + electron + anti-neutrino_e              0.0000e+00
b15 -> n + c14 + electron + anti-neutrino_e              0.0000e+00
b15 -> n + n + c13 + electron + anti-neutrino_e          0.0000e+00
b17 -> n + c16 + electron + anti-neutrino_e              0.0000e+00
b17 -> n + n + c15 + electron + anti-neutrino_e          0.0000e+00
b17 -> n + n + n + c14 + electron + anti-neutrino_e      0.0000e+00
b19 -> n + c18 + electron + anti-neutrino_e              0.0000e+00
b19 -> n + n + c17 + electron + anti-neutrino_e          0.0000e+00
be12 -> n + b11 + electron + anti-neutrino_e             0.0000e+00
be14 -> n + b13 + electron + anti-neutrino_e             0.0000e+00
be14 -> n + n + b12 + electron + anti-neutrino_e         0.0000e+00
br100 -> n + kr99 + electron + anti-neutrino_e           0.0000e+00
br100 -> n + n + kr98 + electron + anti-neutrino_e       0.0000e+00
br100 -> n + n + n + kr97 + electron + anti-neutrino_e   0.0000e+00
br101 -> n + kr100 + electron + anti-neutrino_e          0.0000e+00
br101 -> n + n + kr99 + electron + anti-neutrino_e       0.0000e+00
